Acer Aspire 4810T	<nixos-hardware/acer/aspire/4810t>
Airis N990	<nixos-hardware/airis/n990>
Apple iMac 12,2	<nixos-hardware/apple/imac/12-2>
Apple iMac 14.2	<nixos-hardware/apple/imac/14-2>
Apple iMac 18.2	<nixos-hardware/apple/imac/18-2>
Apple MacBook Air 3,X	<nixos-hardware/apple/macbook-air/3>
Apple MacBook Air 4,X	<nixos-hardware/apple/macbook-air/4>
Apple MacBook Air 5,X	<nixos-hardware/apple/macbook-air/5>
Apple MacBook Air 6,X	<nixos-hardware/apple/macbook-air/6>
Apple MacBook Air 7,X	<nixos-hardware/apple/macbook-air/7>
Apple MacBook Pro 8,1	<nixos-hardware/apple/macbook-pro/8-1>
Apple MacBook Pro 10,1	<nixos-hardware/apple/macbook-pro/10-1>
Apple MacBook Pro 11,1	<nixos-hardware/apple/macbook-pro/11-1>
Apple MacBook Pro 11,4	<nixos-hardware/apple/macbook-pro/11-4>
Apple MacBook Pro 11,5	<nixos-hardware/apple/macbook-pro/11-5>
Apple MacBook Pro 12,1	<nixos-hardware/apple/macbook-pro/12-1>
Apple MacBook Pro 14,1	<nixos-hardware/apple/macbook-pro/14-1>
Apple MacMini (2010, Intel, Nvidia)	<nixos-hardware/apple/macmini/4>
Apple Macs with a T2 Chip	<nixos-hardware/apple/t2>
Aoostar R1 N100	<nixos-hardware/aoostar/r1/n100>
Asus Pro WS X570-ACE	<nixos-hardware/asus/pro-ws-x570-ace>
Asus ROG Ally RC71L (2023)	<nixos-hardware/asus/ally/rc71l>
Asus ROG Flow X13 GV302X* (2023)	<nixos-hardware/asus/flow/gv302x/amdgpu>
Asus ROG Flow X13 GV302X* (2023)	<nixos-hardware/asus/flow/gv302x/nvidia>
Asus ROG Flow Z13 gz301vu* (2023)	<nixos-hardware/asus/flow/gz301vu>
Asus ROG GL552VW	<nixos-hardware/asus/rog-gl552vw>
Asus ROG Strix G513IM	<nixos-hardware/asus/rog-strix/g513im>
Asus ROG Strix G533ZW	<nixos-hardware/asus/rog-strix/g533zw>
Asus ROG Strix G533Q	<nixos-hardware/asus/rog-strix/g533q>
Asus ROG Strix G713IE	<nixos-hardware/asus/rog-strix/g713ie>
Asus ROG Strix G733QS	<nixos-hardware/asus/rog-strix/g733qs>
Asus ROG Strix X570-E GAMING	<nixos-hardware/asus/rog-strix/x570e>
Asus ROG Zephyrus G14 GA401IV (2020)	<nixos-hardware/asus/zephyrus/ga401iv>
Asus ROG Zephyrus G14 GA401 (2021)	<nixos-hardware/asus/zephyrus/ga401>
Asus ROG Zephyrus G14 GA402	<nixos-hardware/asus/zephyrus/ga402>
Asus ROG Zephyrus G14 GA402X* (2023)	<nixos-hardware/asus/zephyrus/ga402x/amdgpu>
Asus ROG Zephyrus G14 GA402X* (2023)	<nixos-hardware/asus/zephyrus/ga402x/nvidia>
Asus ROG Zephyrus G15 GA502	<nixos-hardware/asus/zephyrus/ga502>
Asus ROG Zephyrus G15 GA503	<nixos-hardware/asus/zephyrus/ga503>
Asus ROG Zephyrus G16 GU605CW	<nixos-hardware/asus/zephyrus/gu605cw>
Asus ROG Zephyrus G16 GU605MY	<nixos-hardware/asus/zephyrus/gu605my>
Asus ROG Zephyrus M16 GU603H	<nixos-hardware/asus/zephyrus/gu603h>
Asus TUF FX504GD	<nixos-hardware/asus/fx504gd>
Asus TUF FX506HM	<nixos-hardware/asus/fx506hm>
Asus TUF FA506IC	<nixos-hardware/asus/fa506ic>
Asus TUF FA507RM	<nixos-hardware/asus/fa507rm>
Asus TUF FA507NV	<nixos-hardware/asus/fa507nv>
Asus TUF FA706IC	<nixos-hardware/asus/fa706ic>
Asus Zenbook Duo 14 UX481	<nixos-hardware/asus/zenbook/ux481/intelgpu>
Asus Zenbook Duo 14 UX481	<nixos-hardware/asus/zenbook/ux481/nvidia>
Asus Zenbook Flip S13 UX371	<nixos-hardware/asus/zenbook/ux371>
Asus Zenbook Pro 15 UX535	<nixos-hardware/asus/zenbook/ux535>
Asus Zenbook Pro 17 UM6702	<nixos-hardware/asus/zenbook/um6702>
Asrock Rack ALTRAD8UD-1L2T	<nixos-hardware/asrock-rack/altrad8ud-1l2t>
BeagleBoard PocketBeagle	<nixos-hardware/beagleboard/pocketbeagle>
Chuwi MiniBook X	<nixos-hardware/chuwi/minibook-x>
